2023/24,,All,,,,,,Boys,,,,,,Girls,,,,,
,,Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil,Average Progress 8 score per pupil,Percentage of pupils entered for English and Mathematics GCSEs,Percentage of pupils achieving grades 5 or above in English and Mathematics GCSEs,Percentage of pupils achieving grades 4 or above in English and Mathematics GCSEs,Total number of pupils at the end of key stage 4,Average Attainment 8 score of all pupils,Average Progress 8 score of all pupils,Percentage of pupils entered for components,Percentage of pupils achieving grades 5 or above in English and Mathematics GCSEs,Percentage of pupils achieving grades 4 or above in English and Mathematics GCSEs,Total number of pupils at the end of key stage 4,Average Attainment 8 score of all pupils,Average Progress 8 score of all pupils,Percentage of pupils entered for components,Percentage of pupils achieving grades 5 or above in English and Mathematics GCSEs,Percentage of pupils achieving grades 4 or above in English and Mathematics GCSEs
E13000001,Inner London,"30,424",50.0,+0.28,96.2,53.7,70.7,"15,315",47.9,+0.17,95.2,51.7,68.6,"15,109",52.3,+0.39,97.1,55.7,72.8
E13000002,Outer London,"61,504",51.1,+0.29,96.7,55.8,72.6,"31,206",49.0,+0.18,95.9,53.6,70.5,"30,298",53.4,+0.41,97.6,58.2,74.8
E12000001,North East,"28,878",43.7,-0.25,95.2,42.1,62.3,"14,647",41.6,-0.36,94.3,40.2,59.9,"14,231",45.9,-0.14,96.1,44,64.8
E12000002,North West,"85,790",44.3,-0.17,95.9,42.5,62.1,"43,936",42.1,-0.29,95.1,40.3,59.7,"41,854",46.7,-0.04,96.8,44.8,64.6
E12000003,Yorkshire and The Humber,"63,437",44.2,-0.09,96.2,43.6,62.8,"32,408",42.0,-0.22,95.2,41.2,60.2,"31,029",46.6,+0.05,97.1,46,65.4
E12000004,East Midlands,"54,705",44.8,-0.07,96.5,43.7,63.7,"28,095",42.8,-0.18,95.8,41.6,61.2,"26,610",47.0,+0.05,97.2,46,66.2
E12000005,West Midlands,"70,831",44.5,-0.11,96.1,42.4,62.2,"36,267",42.0,-0.24,95.2,39.8,59.3,"34,564",47.0,+0.03,97.1,45.2,65.2
E12000006,East of England,"71,207",46.0,-0.01,96.4,45.9,65.8,"36,635",43.9,-0.13,95.7,43.6,63.1,"34,572",48.3,+0.10,97.3,48.4,68.6
E12000007,London,"91,928",50.8,+0.29,96.5,55.1,72,"46,521",48.6,+0.18,95.7,53,69.9,"45,407",53.0,+0.40,97.4,57.4,74.1
E12000008,South East,"99,784",47.2,-0.02,96.2,48.6,67.4,"51,048",45.3,-0.12,95.5,46.9,65.2,"48,736",49.3,+0.09,97,50.5,69.7
E12000009,South West,"57,715",46.0,-0.03,95.9,45.8,65.7,"29,417",43.9,-0.14,95.2,43.2,63,"28,298",48.2,+0.09,96.6,48.5,68.5
E92000001,England,"624,275",46.1,-0.03,96.2,46.2,65.4,"318,974",43.9,-0.15,95.4,44,62.9,"305,301",48.4,+0.09,97,48.6,67.9
,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,
"(1) Local authority, region, parliamentary constituency and the total (state-funded sector) figures cover achievements in state-funded schools only. They do not include pupils recently arrived from overseas and so will not match with state-funded figures in the national tables.",,,,,,,,,,,,,,,,,,,
(2) Progress 8 was not published in 2020 or 2021 because of the COVID-19 pandemic.,,,,,,,,,,,,,,,,,,,
"(3) A Progress 8 score of 1.0 means pupils make on average a grade more progress than the national average of pupils with similar KS2 prior attainment in mainstream schools. Progress 8 should be interpreted alongside the associated confidence intervals. If the confidence intervals cross 0, then progress is not significantly different compared to pupils with similar KS2 prior attainment in mainstream schools.",,,,,,,,,,,,,,,,,,,
"(4) Changes were made to the methodology for calculating performance data due to the commitment not to use qualification results awarded between January 2020 and August 2021 in future measures. GCSE exams returned in 2022 and grades were awarded at a midpoint between 2021 and pre-pandemic grading. In 2023, there was a return to pre-pandemic grading, with some protections. Comparisons to 2020, 2021, and 2022 should be made with caution.",,,,,,,,,,,,,,,,,,,
"(5) c = a cell that has been suppressed due to low number of pupils. Suppression was applied where deemed necessary for all data up to 2018/19. For 2019/20, DfE suppression policy changed. For 2020 and 2021 results where a geographical area contains only one school (for example Isles of Scilly) the data for that area has been suppressed. This is in line with the announcement that school level data would not be published using either summer 2020 or summer 2021 exam grades awarded. Data has not being supressed at local authority or national level from 2022 onwards.",,,,,,,,,,,,,,,,,,,
"(6) In 2017, new reformed GCSEs (which use the 9-1 grade scale) were introduced into secondary school performance tables in a phased approach. Unreformed subjects continued to be graded using the A* to G system. From 2020 onwards all GCSEs are now reformed and use the 9-1 grading scale.",,,,,,,,,,,,,,,,,,,
Link:,https://explore-education-statistics.service.gov.uk/data-tables/permalink/18bc8f66-65db-4b44-9418-08dd5a671191,,,,,,,,,,,,,,,,,,
