RECTYPE,LEA,ESTAB,URN,SCHNAME,SCHNAME_AC,ADDRESS1,ADDRESS2,ADDRESS3,TOWN,PCODE,TELNUM,PCON_CODE,PCON_NAME,CONTFLAG,ICLOSE,NFTYPE,RELDENOM,ADMPOL,ADMPOL_PT,EGENDER,FEEDER,AGERANGE,TOTPUPS,NUMBOYS,NUMGIRLS,TPUP,BPUP,PBPUP,GPUP,PGPUP,KS2ASS,TPRIORLO,PTPRIORLO,TPRIORAV,PTPRIORAV,TPRIORHI,PTPRIORHI,TFSM6CLA1A,PTFSM6CLA1A,TNOTFSM6CLA1A,PTNOTFSM6CLA1A,TEALGRP2,PTEALGRP2,TEALGRP1,PTEALGRP1,TEALGRP3,PTEALGRP3,TNMOB,PTNMOB,SENE4,PSENE4,SEN_ALL4,PSEN_ALL4,SENK4,PSENK4,TOTATT8,ATT8SCR,TOTATT8ENG,ATT8SCRENG,TOTATT8MAT,ATT8SCRMAT,TOTATT8EBAC,ATT8SCREBAC,TOTATT8OPEN,ATT8SCROPEN,TOTATT8OPENG,ATT8SCROPENG,TOTATT8OPENNG,ATT8SCROPENNG,AVGEBACFILL,AVGOPENFILL,P8PUP,TP8ADJ,P8MEACOV,P8MEA,P8CILOW,P8CIUPP,P8MEA_ORIG,P8CILOW_ORIG,P8CIUPP_ORIG,P8MEAENG,P8MEAENG_CILOW,P8MEAENG_CIUPP,P8MEAMAT,P8MEAMAT_CILOW,P8MEAMAT_CIUPP,P8MEAEBAC,P8MEAEBAC_CILOW,P8MEAEBAC_CIUPP,P8MEAOPEN,P8MEAOPEN_CILOW,P8MEAOPEN_CIUPP,PTL2BASICS_94,PTL2BASICS_95,TOTEBACCAPS,EBACCAPS,EBACCAPS_FSM6CLA1A,EBACCAPS_NFSM6CLA1A,EBACCAPS_LO,EBACCAPS_MID,EBACCAPS_HI,EBACCAPS_EAL,EBACCAPS_GIRLS,EBACCAPS_BOYS,EBACCAPS_NMOB,TEBACC_E_PTQ_EE,PTEBACC_E_PTQ_EE,PTEBACC_94,PTEBACC_95,TEBACENG_E_PTQ_EE,PTEBACENG_E_PTQ_EE,TEBACMAT_E_PTQ_EE,PTEBACMAT_E_PTQ_EE,TEBAC2SCI_E_PTQ_EE,PTEBAC2SCI_E_PTQ_EE,TEBACHUM_E_PTQ_EE,PTEBACHUM_E_PTQ_EE,TEBACLAN_E_PTQ_EE,PTEBACLAN_E_PTQ_EE,PTEBACENG_94,PTEBACENG_95,PTEBACMAT_94,PTEBACMAT_95,PTEBAC2SCI_94,PTEBAC2SCI_95,PTEBACHUM_94,PTEBACHUM_95,PTEBACLAN_94,PTEBACLAN_95,SCIVAPUP_PTQ_EE,SCIVACOV_PTQ_EE,HUMVAPUP_PTQ_EE,HUMVACOV_PTQ_EE,LANVAPUP_PTQ_EE,LANVACOV_PTQ_EE,SCIVAMEA_PTQ_EE,SCIVALOW_PTQ_EE,SCIVAUPP_PTQ_EE,HUMVAMEA_PTQ_EE,HUMVALOW_PTQ_EE,HUMVAUPP_PTQ_EE,LANVAMEA_PTQ_EE,LANVALOW_PTQ_EE,LANVAUPP_PTQ_EE,TEBACENG_94,TEBACENG_95,TEBACMAT_94,TEBACMAT_95,TEBAC2SCI_94,TEBAC2SCI_95,TEBACHUM_94,TEBACHUM_95,TEBACLAN_94,TEBACLAN_95,TEBACC91,PTEBACC91,TEBACENG91,PTEBACENG91,TEBACMAT91,PTEBACMAT91,TEBAC2SCI91,PTEBAC2SCI91,TEBACHUM91,PTEBACHUM91,TEBACLAN91,PTEBACLAN91,ATT8SCR_FSM6CLA1A,P8PUP_FSM6CLA1A,TP8ADJ_FSM6CLA1A,P8MEA_FSM6CLA1A,P8CILOW_FSM6CLA1A,P8CIUPP_FSM6CLA1A,P8MEA_FSM6CLA1A_ORIG,P8CILOW_FSM6CLA1A_ORIG,P8CIUPP_FSM6CLA1A_ORIG,ATT8SCR_NFSM6CLA1A,P8PUP_NFSM6CLA1A,TP8ADJ_NFSM6CLA1A,P8MEA_NFSM6CLA1A,P8CILOW_NFSM6CLA1A,P8CIUPP_NFSM6CLA1A,P8MEA_NFSM6CLA1A_ORIG,P8CILOW_NFSM6CLA1A_ORIG,P8CIUPP_NFSM6CLA1A_ORIG,ATT8SCRENG_FSM6CLA1A,P8MEAENG_FSM6CLA1A,P8MEAENG_CILOW_FSM6CLA1A,P8MEAENG_CIUPP_FSM6CLA1A,ATT8SCRMAT_FSM6CLA1A,P8MEAMAT_FSM6CLA1A,P8MEAMAT_CILOW_FSM6CLA1A,P8MEAMAT_CIUPP_FSM6CLA1A,ATT8SCREBAC_FSM6CLA1A,P8MEAEBAC_FSM6CLA1A,P8MEAEBAC_CILOW_FSM6CLA1A,P8MEAEBAC_CIUPP_FSM6CLA1A,ATT8SCROPEN_FSM6CLA1A,P8MEAOPEN_FSM6CLA1A,P8MEAOPEN_CILOW_FSM6CLA1A,P8MEAOPEN_CIUPP_FSM6CLA1A,ATT8SCRENG_NFSM6CLA1A,P8MEAENG_NFSM6CLA1A,P8MEAENG_CILOW_NFSM6CLA1A,P8MEAENG_CIUPP_NFSM6CLA1A,ATT8SCRMAT_NFSM6CLA1A,P8MEAMAT_NFSM6CLA1A,P8MEAMAT_CILOW_NFSM6CLA1A,P8MEAMAT_CIUPP_NFSM6CLA1A,ATT8SCREBAC_NFSM6CLA1A,P8MEAEBAC_NFSM6CLA1A,P8MEAEBAC_CILOW_NFSM6CLA1A,P8MEAEBAC_CIUPP_NFSM6CLA1A,ATT8SCROPEN_NFSM6CLA1A,P8MEAOPEN_NFSM6CLA1A,P8MEAOPEN_CILOW_NFSM6CLA1A,P8MEAOPEN_CIUPP_NFSM6CLA1A,ATT8SCROPENG_FSM6CLA1A,ATT8SCROPENNG_FSM6CLA1A,ATT8SCROPENG_NFSM6CLA1A,ATT8SCROPENNG_NFSM6CLA1A,DIFFN_ATT8,DIFFN_P8MEA,ATT8SCR_LO,P8PUP_LO,TP8ADJ_LO,P8MEA_LO,P8CILOW_LO,P8CIUPP_LO,P8MEA_LO_ORIG,P8CILOW_LO_ORIG,P8CIUPP_LO_ORIG,ATT8SCR_MID,P8PUP_MID,TP8ADJ_MID,P8MEA_MID,P8CILOW_MID,P8CIUPP_MID,P8MEA_MID_ORIG,P8CILOW_MID_ORIG,P8CIUPP_MID_ORIG,ATT8SCR_HI,P8PUP_HI,TP8ADJ_HI,P8MEA_HI,P8CILOW_HI,P8CIUPP_HI,P8MEA_HI_ORIG,P8CILOW_HI_ORIG,P8CIUPP_HI_ORIG,ATT8SCR_EAL,ATT8SCRENG_EAL,ATT8SCRMAT_EAL,ATT8SCREBAC_EAL,ATT8SCROPEN_EAL,ATT8SCROPENG_EAL,ATT8SCROPENNG_EAL,P8PUP_EAL,TP8ADJ_EAL,P8MEA_EAL,P8CILOW_EAL,P8CIUPP_EAL,P8MEA_EAL_ORIG,P8CILOW_EAL_ORIG,P8CIUPP_EAL_ORIG,ATT8SCR_GIRLS,ATT8SCRENG_GIRLS,ATT8SCRMAT_GIRLS,ATT8SCREBAC_GIRLS,ATT8SCROPEN_GIRLS,ATT8SCROPENG_GIRLS,ATT8SCROPENNG_GIRLS,P8PUP_GIRLS,TP8ADJ_GIRLS,P8MEA_GIRLS,P8CILOW_GIRLS,P8CIUPP_GIRLS,P8MEA_GIRLS_ORIG,P8CILOW_GIRLS_ORIG,P8CIUPP_GIRLS_ORIG,ATT8SCR_BOYS,ATT8SCRENG_BOYS,ATT8SCRMAT_BOYS,ATT8SCREBAC_BOYS,ATT8SCROPEN_BOYS,ATT8SCROPENG_BOYS,ATT8SCROPENNG_BOYS,P8PUP_BOYS,TP8ADJ_BOYS,P8MEA_BOYS,P8CILOW_BOYS,P8CIUPP_BOYS,P8MEA_BOYS_ORIG,P8CILOW_BOYS_ORIG,P8CIUPP_BOYS_ORIG,ATT8SCR_NMOB,ATT8SCRENG_NMOB,ATT8SCRMAT_NMOB,ATT8SCREBAC_NMOB,ATT8SCROPEN_NMOB,ATT8SCROPENG_NMOB,ATT8SCROPENNG_NMOB,P8PUP_NMOB,TP8ADJ_NMOB,P8MEA_NMOB,P8CILOW_NMOB,P8CIUPP_NMOB,P8MEA_NMOB_ORIG,P8CILOW_NMOB_ORIG,P8CIUPP_NMOB_ORIG,TEBACC_ELO_PTQ_EE,PTEBACC_ELO_PTQ_EE,PTEBACCLO_94,PTEBACCLO_95,TEBACC_EAV_PTQ_EE,PTEBACC_EAV_PTQ_EE,PTEBACCAV_94,PTEBACCAV_95,TEBACC_EHI_PTQ_EE,PTEBACC_EHI_PTQ_EE,PTEBACCHI_94,PTEBACCHI_95,PTEBACC_EFSM6CLA1A_PTQ_EE,PTEBACC_ENFSM6CLA1A_PTQ_EE,PTEBACC_94_FSM6CLA1A,PTEBACC_95_FSM6CLA1A,PTEBACC_94_NFSM6CLA1A,PTEBACC_95_NFSM6CLA1A,SCIVAMEA_LO_PTQ_EE,SCIVAMEA_MID_PTQ_EE,SCIVAMEA_HI_PTQ_EE,SCIVAMEA_FSM6CLA1A_PTQ_EE,SCIVAMEA_NFSM6CLA1A_PTQ_EE,HUMVAMEA_LO_PTQ_EE,HUMVAMEA_MID_PTQ_EE,HUMVAMEA_HI_PTQ_EE,HUMVAMEA_FSM6CLA1A_PTQ_EE,HUMVAMEA_NFSM6CLA1A_PTQ_EE,LANVAMEA_LO_PTQ_EE,LANVAMEA_MID_PTQ_EE,LANVAMEA_HI_PTQ_EE,LANVAMEA_FSM6CLA1A_PTQ_EE,LANVAMEA_NFSM6CLA1A_PTQ_EE,SCIVAUPP_FSM6CLA1A_PTQ_EE,SCIVALOW_FSM6CLA1A_PTQ_EE,SCIVAUPP_NFSM6CLA1A_PTQ_EE,SCIVALOW_NFSM6CLA1A_PTQ_EE,SCIVAUPP_LO_PTQ_EE,SCIVALOW_LO_PTQ_EE,SCIVAUPP_MID_PTQ_EE,SCIVALOW_MID_PTQ_EE,SCIVAUPP_HI_PTQ_EE,SCIVALOW_HI_PTQ_EE,HUMVAUPP_FSM6CLA1A_PTQ_EE,HUMVALOW_FSM6CLA1A_PTQ_EE,HUMVAUPP_NFSM6CLA1A_PTQ_EE,HUMVALOW_NFSM6CLA1A_PTQ_EE,HUMVAUPP_LO_PTQ_EE,HUMVALOW_LO_PTQ_EE,HUMVAUPP_MID_PTQ_EE,HUMVALOW_MID_PTQ_EE,HUMVAUPP_HI_PTQ_EE,HUMVALOW_HI_PTQ_EE,LANVAUPP_FSM6CLA1A_PTQ_EE,LANVALOW_FSM6CLA1A_PTQ_EE,LANVAUPP_NFSM6CLA1A_PTQ_EE,LANVALOW_NFSM6CLA1A_PTQ_EE,LANVAUPP_LO_PTQ_EE,LANVALOW_LO_PTQ_EE,LANVAUPP_MID_PTQ_EE,LANVALOW_MID_PTQ_EE,LANVAUPP_HI_PTQ_EE,LANVALOW_HI_PTQ_EE,PBEBACC_E_PTQ_EE,PBEBACC_94,PBEBACC_95,PGEBACC_E_PTQ_EE,PGEBACC_94,PGEBACC_95,PTEBACC_ENMOB_PTQ_EE,PTEBACCNMOB_94,PTEBACCNMOB_95,PTEBACC_EEAL_PTQ_EE,PTEBACCEAL_94,PTEBACCEAL_95,PT5EM_94,PTANYQ_PTQ_EE,PTFSM6CLA1ABASICS_94,PTNOTFSM6CLA1ABASICS_94,TBASICSLO_94,PTBASICSLO_94,TBASICSAV_94,PTBASICSAV_94,TBASICSHI_94,PTBASICSHI_94,PBL2BASICS_94,PGL2BASICS_94,PTL2BASICSEAL_94,PTL2BASICSNMOB_94,PTFSM6CLA1ABASICS_95,PTNOTFSM6CLA1ABASICS_95,TBASICSLO_95,PTBASICSLO_95,TBASICSAV_95,PTBASICSAV_95,TBASICSHI_95,PTBASICSHI_95,PBL2BASICS_95,PGL2BASICS_95,PTL2BASICSEAL_95,PTL2BASICSNMOB_95,PTmultiLan_E,PTtripleSci_E,TAVENT_E_3NG_PTQ_EE,TAVENT_E_3NG_LO_PTQ_EE,TAVENT_E_3NG_MID_PTQ_EE,TAVENT_E_3NG_HI_PTQ_EE,TAVENT_E_3NG_FSM6CLA1A_PTQ_EE,TAVENT_E_3NG_NFSM6CLA1A_PTQ_EE,TAVENT_G_PTQ_EE,TAVENT_GLO_PTQ_EE,TAVENT_GAV_PTQ_EE,TAVENT_GHI_PTQ_EE,TAVENT_GFSM6CLA1A_PTQ_EE,TAVENT_GNFSM6CLA1A_PTQ_EE,TTOTENT_E_TOTAL_PTQ_EE,TTOTENT_E_COVID_IMPACTED_PTQ_EE,PTOTENT_E_COVID_IMPACTED_PTQ_EE,P8_BANDING,EBACCAPS_PREV,EBACCAPS_PREV2,EBACCAPS_FSM6CLA1A_PREV,EBACCAPS_FSM6CLA1A_PREV2,EBACCAPS_NFSM6CLA1A_PREV,EBACCAPS_NFSM6CLA1A_PREV2,ATT8SCR_PREV,ATT8SCR_PREV2,P8PUP_PREV,P8PUP_PREV2,P8MEA_PREV,P8MEA_PREV2,P8CILOW_PREV,P8CILOW_PREV2,P8CIUPP_PREV,P8CIUPP_PREV2,ATT8SCR_FSM6CLA1A_PREV,ATT8SCR_FSM6CLA1A_PREV2,ATT8SCR_NFSM6CLA1A_PREV,ATT8SCR_NFSM6CLA1A_PREV2,PTEBACC_E_PTQ_EE_PREV,PTEBACC_E_PTQ_EE_PREV2,PTEBACC_94_PREV,PTEBACC_94_PREV2,PTEBACC_95_PREV,PTEBACC_95_PREV2,PTEBACC_EFSM6CLA1A_PTQ_EE_PREV,PTEBACC_EFSM6CLA1A_PTQ_EE_PREV2,PTEBACC_94_FSM6CLA1A_PREV,PTEBACC_94_FSM6CLA1A_PREV2,PTEBACC_95_FSM6CLA1A_PREV,PTEBACC_95_FSM6CLA1A_PREV2,PTEBACC_ENFSM6CLA1A_PTQ_EE_PREV,PTEBACC_ENFSM6CLA1A_PTQ_EE_PREV2,PTEBACC_94_NFSM6CLA1A_PREV,PTEBACC_94_NFSM6CLA1A_PREV2,PTEBACC_95_NFSM6CLA1A_PREV,PTEBACC_95_NFSM6CLA1A_PREV2,PT5EM_94_PREV,PT5EM_94_PREV2,PTL2BASICS_94_PREV,PTL2BASICS_94_PREV2,PTL2BASICS_95_PREV,PTL2BASICS_95_PREV2,PTFSM6CLA1ABASICS_94_PREV,PTFSM6CLA1ABASICS_94_PREV2,PTFSM6CLA1ABASICS_95_PREV,PTFSM6CLA1ABASICS_95_PREV2,PTNOTFSM6CLA1ABASICS_94_PREV,PTNOTFSM6CLA1ABASICS_94_PREV2,PTNOTFSM6CLA1ABASICS_95_PREV,PTNOTFSM6CLA1ABASICS_95_PREV2,TFSM6CLA1A_PREV,TFSM6CLA1A_PREV2,PTFSM6CLA1A_PREV,PTFSM6CLA1A_PREV2,TNOTFSM6CLA1A_PREV,TNOTFSM6CLA1A_PREV2,PTNOTFSM6CLA1A_PREV,PTNOTFSM6CLA1A_PREV2,TAVENT_E_3NG_FSM6CLA1A_PTQ_EE_PREV,TAVENT_E_3NG_FSM6CLA1A_PTQ_EE_PREV2,TAVENT_E_3NG_NFSM6CLA1A_PTQ_EE_PREV,TAVENT_E_3NG_NFSM6CLA1A_PTQ_EE_PREV2,TAVENT_GFSM6CLA1A_PTQ_EE_PREV,TAVENT_GFSM6CLA1A_PTQ_EE_PREV2,TAVENT_GNFSM6CLA1A_PTQ_EE_PREV,TAVENT_GNFSM6CLA1A_PTQ_EE_PREV2
2,211,7168,100989,Beatrice Tate School,,41 Southern Grove,Mile End,,London,E3 4PX,02089833760,E14001430,Poplar and Limehouse,0,0,CYS,Does not apply,NA,NA,MIXED,0,11-19,127,75,52,10,4,40.00%,6,60.00%,NA,NA,NA,NA,NA,NA,NA,9,90.00%,1,10.00%,5,50.00%,5,50.00%,0,0.00%,10,100.00%,,,,,,,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,NE,NE,SUPP,SUPP,NA,NA,NA,SUPP,SUPP,SUPP,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,SUPP,NA,NA,NA,NA,NA,NA,NA,NA,SUPP,NA,NA,NA,NA,NA,NA,NA,NA,SUPP,NA,NA,NA,SUPP,NA,NA,NA,SUPP,NA,NA,NA,SUPP,NA,NA,NA,SUPP,NA,NA,NA,SUPP,NA,NA,NA,SUPP,NA,NA,NA,SUPP,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,NA,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,NA,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,NE,NE,NE,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NE,NE,NE,SUPP,SUPP,SUPP,NE,NE,SUPP,SUPP,NA,NA,NA,NA,NA,NA,SUPP,SUPP,SUPP,NE,SUPP,SUPP,NA,NA,NA,NA,NA,NA,SUPP,SUPP,SUPP,NE,NE,NE,NE,NA,NA,NA,SUPP,SUPP,NE,NA,NA,NA,SUPP,SUPP,NE,NE,NE,NA,NE,NE,SUPP,SUPP,SUPP,SUPP,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,SUPP,SUPP,SUPP,SUPP,NE,NE,NE,NE,NE,NE,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NE,NE,NE,NE,NE,NE,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,9,13,75.00%,72.20%,3,5,25.00%,27.80%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,211,4726,150606,Bishop Challoner Catholic School,,352 Commercial Road,,,London,E1 0LB,02077919500,E14001086,Bethnal Green and Stepney,0,0,ACC,Roman Catholic,NSE,OTHER NON SEL,MIXED,0,11-18,1034,503,531,208,101,48.60%,107,51.40%,NA,NA,NA,NA,NA,NA,NA,119,57.20%,89,42.80%,51,24.50%,157,75.50%,0,0.00%,196,94.20%,9,4.30%,25,12.00%,16,7.70%,9273,44.6,2060,9.9,1846,8.9,2679.5,12.9,2687.5,12.9,2428,11.7,259.5,1.2,2.7,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.90%,46.20%,818.82,3.94,3.51,4.51,NA,NA,NA,4.37,4.08,3.79,3.89,65,31.30%,21.60%,17.80%,198,95.20%,205,98.60%,204,98.10%,162,77.90%,75,36.10%,76.00%,63.00%,67.80%,48.10%,57.80%,46.60%,58.60%,43.20%,82.70%,70.70%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,131,141,100,118,95,95,70,62,53,64,30.80%,198,95.20%,199,95.70%,197,96.60%,158,97.50%,73,97.30%,40.9,NA,NA,NA,NA,NA,NA,NA,NA,49.5,NA,NA,NA,NA,NA,NA,NA,NA,9.3,NA,NA,NA,8,NA,NA,NA,11.5,NA,NA,NA,12.1,NA,NA,NA,10.8,NA,NA,NA,10,NA,NA,NA,14.7,NA,NA,NA,14,NA,NA,NA,10.8,1.3,12.8,1.2,-9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.7,9.5,9.6,14.6,13,11.4,1.7,NA,NA,NA,NA,NA,NA,NA,NA,46.5,10.5,8.7,13.3,13.9,13,1,NA,NA,NA,NA,NA,NA,NA,NA,42.6,9.3,9.1,12.4,11.8,10.3,1.5,NA,NA,NA,NA,NA,NA,NA,NA,44.2,9.8,8.8,12.7,12.8,11.6,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.80%,43.80%,16.00%,11.80%,29.20%,25.80%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.80%,20.80%,15.80%,37.40%,22.40%,19.60%,29.60%,20.90%,16.80%,51.00%,29.40%,23.50%,58.20%,98.60%,57.10%,73.00%,NA,NA,NA,NA,NA,NA,63.40%,64.50%,60.80%,62.20%,37.00%,58.40%,NA,NA,NA,NA,NA,NA,45.50%,46.70%,52.90%,44.90%,5.30%,5.80%,7.8,NA,NA,NA,7.6,8,7.2,NA,NA,NA,7,7.5,1656,0,0%,NA,3.94,4.32,3.41,3.68,4.5,4.91,44,50.9,229,122,-0.27,0.01,-0.45,-0.24,-0.09,0.26,38.6,44.7,49.6,56.5,44.90%,40.00%,21.60%,24.60%,16.10%,13.80%,37.20%,30.60%,18.20%,16.10%,12.40%,9.70%,53.00%,48.50%,25.20%,32.40%,20.00%,17.60%,54.70%,67.70%,61.40%,70.80%,43.20%,50.00%,55.40%,62.90%,33.10%,35.50%,67.80%,77.90%,53.90%,63.20%,121,62,51.30%,47.70%,115,68,48.70%,52.30%,7.8,7.5,8.3,8.3,7,6.9,7.7,7.7
1,211,4024,100965,Bow School,,44 Twelvetrees Crescent,Bow,,London,E3 3QW,02075365525,E14001430,Poplar and Limehouse,0,0,CY,Does not apply,NSE,OTHER NON SEL,MIXED,0,11-18,1173,753,420,220,147,66.80%,73,33.20%,NA,NA,NA,NA,NA,NA,NA,125,56.80%,95,43.20%,165,75.00%,55,25.00%,0,0.00%,217,98.60%,9,4.10%,33,15.00%,24,10.90%,9509,43.2,2072,9.4,1818,8.3,2820,12.8,2799,12.7,2570,11.7,229,1,2.9,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.50%,33.20%,834.17,3.79,3.5,4.17,NA,NA,NA,3.84,4.33,3.52,3.83,84,38.20%,20.90%,14.10%,216,98.20%,217,98.60%,216,98.20%,173,78.60%,102,46.40%,77.30%,58.60%,64.50%,39.10%,59.70%,36.10%,54.90%,42.80%,76.50%,58.80%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170,129,142,86,129,78,95,74,78,60,82,37.30%,214,97.30%,214,97.30%,213,98.60%,165,95.40%,101,99.00%,40.5,NA,NA,NA,NA,NA,NA,NA,NA,46.8,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,7.6,NA,NA,NA,11.8,NA,NA,NA,12.1,NA,NA,NA,10,NA,NA,NA,9.1,NA,NA,NA,14.1,NA,NA,NA,13.6,NA,NA,NA,10.9,1.2,12.7,0.9,-9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.7,9.5,8.5,13,12.7,11.8,1,NA,NA,NA,NA,NA,NA,NA,NA,48,10.4,8.5,14.2,14.8,13.9,0.9,NA,NA,NA,NA,NA,NA,NA,NA,40.9,8.9,8.1,12.1,11.7,10.6,1.1,NA,NA,NA,NA,NA,NA,NA,NA,43.6,9.5,8.4,12.9,12.9,11.8,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.40%,43.20%,18.40%,12.80%,24.20%,15.80%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.30%,14.30%,8.80%,56.20%,34.20%,24.70%,38.70%,21.20%,14.30%,37.60%,21.80%,14.50%,50.90%,98.60%,52.80%,70.50%,NA,NA,NA,NA,NA,NA,57.10%,67.10%,63.00%,61.30%,25.60%,43.20%,NA,NA,NA,NA,NA,NA,31.30%,37.00%,35.80%,33.60%,1.80%,20.50%,8.3,NA,NA,NA,8.1,8.6,8.1,NA,NA,NA,7.9,8.4,1846,0,0%,NA,3.77,4.15,3.47,3.79,4.15,4.5,43.4,47.7,209,188,-0.39,-0.12,-0.58,-0.32,-0.2,0.09,40.7,44.7,46.9,50.6,36.50%,34.50%,19.70%,22.00%,12.90%,13.90%,30.00%,29.10%,16.20%,16.40%,10.80%,10.90%,44.70%,39.80%,24.30%,27.40%,15.50%,16.80%,48.90%,61.90%,52.40%,68.20%,37.30%,49.80%,47.70%,63.60%,33.80%,40.00%,58.30%,72.60%,41.70%,59.30%,130,110,55.80%,49.30%,103,113,44.20%,50.70%,8.4,8.3,8.6,8.6,8.2,8.1,8.2,8.5
