2022/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,,,,,,,,,,,,Boys,,,,,,,,,,,,Girls,,,,,,,,,,,
,,Total number of pupils at the end of key stage 4,,,,Average Attainment 8 score of all pupils,,,,Average Progress 8 score of all pupils,,,,Total number of pupils at the end of key stage 4,,,,Average Attainment 8 score of all pupils,,,,Average Progress 8 score of all pupils,,,,Total number of pupils at the end of key stage 4,,,,Average Attainment 8 score of all pupils,,,,Average Progress 8 score of all pupils,,,
,Area,Total,No SEN,Sen statement / EHC Plan,SEN Supp,Total,No SEN,Sen statement / EHC Plan,SEN Supp,Total,No SEN,Sen statement / EHC Plan,SEN Supp,Total,No SEN,Sen statement / EHC Plan,SEN Supp,Total,No SEN,Sen statement / EHC Plan,SEN Supp,Total,No SEN,Sen statement / EHC Plan,SEN Supp,Total,No SEN,Sen statement / EHC Plan,SEN Supp,Total,No SEN,Sen statement / EHC Plan,SEN Supp,Total,No SEN,Sen statement / EHC Plan,SEN Supp
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Croydon,"3,906","3,139",217,549,45.7,49.9,13.6,34.3,0.01,0.13,-0.88,-0.29,"2,031","1,533",163,334,42.9,48.4,13.6,32.0,-0.15,0.00,-0.91,-0.43,"1,875","1,606",54,215,48.7,51.3,13.6,37.9,0.19,0.25,-0.78,-0.07
,Ealing,"3,343","2,857",183,303,52.0,55.9,16.6,36.9,0.62,0.78,-0.59,-0.05,"1,709","1,400",136,173,49.9,54.6,19.1,36.1,0.49,0.68,-0.46,-0.16,"1,634","1,457",47,130,54.2,57.1,9.1,38.0,0.76,0.88,-0.98,0.08
,Enfield,"3,871","3,205",198,467,47.0,51.2,12.1,33.0,0.21,0.34,-1.14,-0.09,"1,970","1,565",136,269,44.2,49.1,12.8,31.8,0.03,0.15,-1.06,-0.14,"1,901","1,640",62,198,49.9,53.2,10.5,34.6,0.40,0.52,-1.30,-0.03
,Greenwich,"2,852","2,307",126,419,47.0,50.4,14.1,37.9,-0.01,0.12,-1.05,-0.45,"1,467","1,125",93,249,44.8,49.2,14.7,36.0,-0.15,0.01,-1.02,-0.56,"1,385","1,182",33,170,49.3,51.6,12.3,40.7,0.14,0.23,-1.14,-0.29
,Harrow,"2,618","2,254",93,271,51.6,54.9,17.3,36.2,0.45,0.58,-0.77,-0.09,"1,290","1,065",67,158,48.2,51.9,19.3,35.6,0.19,0.32,-0.73,-0.18,"1,328","1,189",26,113,54.9,57.5,12.2,37.1,0.69,0.80,-0.85,0.04
,Havering,"2,968","2,606",126,236,47.4,50.2,16.2,33.5,-0.09,-0.01,-0.94,-0.51,"1,550","1,335",78,137,45.4,48.5,16.7,31.9,-0.23,-0.15,-1.06,-0.60,"1,418","1,271",48,99,49.6,52.0,15.4,35.8,0.06,0.13,-0.76,-0.38
,Hillingdon,"3,510","3,009",158,342,48.9,52.4,14.0,34.3,0.24,0.37,-0.98,-0.26,"1,770","1,478",112,180,47.6,51.8,15.2,33.0,0.18,0.32,-0.91,-0.29,"1,740","1,531",46,162,50.3,53.0,11.1,35.8,0.31,0.42,-1.16,-0.23
,Hounslow,"3,204","2,606",137,383,49.9,54.6,17.1,39.0,0.45,0.61,-0.82,-0.10,"1,660","1,329",95,200,48.7,54.0,18.6,35.9,0.36,0.54,-0.84,-0.11,"1,544","1,277",42,183,51.2,55.3,13.9,42.3,0.54,0.69,-0.76,-0.10
,Kingston upon Thames,"1,893","1,640",108,144,58.6,62.3,21.5,44.4,0.58,0.69,-0.49,0.12,911,748,70,93,56.5,61.4,22.6,42.1,0.43,0.55,-0.49,0.05,982,892,38,51,60.5,63.0,19.6,48.6,0.73,0.81,-0.49,0.25
,Merton,"1,711","1,310",112,289,52.2,57.4,22.1,40.2,0.59,0.75,-0.37,0.15,920,676,79,165,50.9,57.0,23.8,39.1,0.53,0.71,-0.03,-0.02,791,634,33,124,53.7,57.9,18.1,41.6,0.66,0.79,-1.06,0.38
,Redbridge,"3,949","3,420",157,371,54.6,57.7,19.3,41.1,0.50,0.59,-0.55,0.17,"2,055","1,728",116,211,52.8,56.5,17.9,41.4,0.40,0.48,-0.59,0.26,"1,894","1,692",41,160,56.6,58.9,23.2,40.7,0.62,0.70,-0.45,0.04
,Richmond upon Thames,"1,891","1,541",106,244,55.9,60.3,22.3,42.9,0.40,0.57,-0.59,-0.16,978,758,73,147,53.3,58.6,22.6,41.4,0.29,0.50,-0.58,-0.31,913,783,33,97,58.7,61.9,21.5,45.1,0.53,0.64,-0.60,0.06
,Sutton,"3,278","2,880",130,267,59.9,63.5,16.2,42.9,0.51,0.62,-0.76,-0.17,"1,676","1,450",106,120,58.8,63.5,13.8,42.2,0.42,0.55,-0.93,-0.22,"1,602","1,430",24,147,61.1,63.5,26.8,43.5,0.61,0.69,0.04,-0.13
,Waltham Forest,"2,805","2,299",157,349,45.7,49.8,14.3,33.0,-0.06,0.09,-1.12,-0.53,"1,435","1,115",113,207,42.7,47.6,14.5,31.7,-0.29,-0.13,-1.00,-0.75,"1,370","1,184",44,142,48.9,51.8,13.9,35.0,0.17,0.28,-1.42,-0.23
